Gene ID	Gene Name	SRR12816718	SRR12816719	SRR12816720	SRR12816721	SRR12816722	SRR12816723	SRR12816724	SRR12816725	SRR12816726	SRR12816727	SRR12816728	SRR12816729	SRR12816730	SRR12816731	SRR12816732	SRR12816733	SRR12816734	SRR12816735	SRR12816736	SRR12951211	SRR12951212	SRR12951213	SRR12951214	SRR12951215	SRR12951216	SRR12951217	SRR12951218	SRR12951219	SRR12951220	SRR12951221	SRR12951222	SRR12951223	SRR12951224	SRR12951225	SRR12951226	SRR12951227	SRR12951228	SRR12951229
ENSG00000000003	TSPAN6	245	369	331	380	704	138	713	1051	574	537	234	169	624	289	2980	475	444	14	169	512	1608	201	84	99	695	10	71	303	1559	934	1044	1196	391	1130	550	326	568	464
ENSG00000000005	TNMD	6	28	45	1	0	3	4	2	9	35	66	14	48	21	0	15	2	0	0	5	0	6	0	2	1	0	0	11	1	26	8	19	5	13	18	2	23	8
ENSG00000000419	DPM1	195	260	133	332	647	321	822	708	298	125	427	219	351	207	526	257	344	14	619	315	66	593	343	151	458	39	377	364	489	369	288	405	311	368	281	252	271	168
ENSG00000000457	SCYL3	216	245	38	109	385	163	207	394	312	384	517	289	568	279	344	366	322	209	325	270	179	428	194	155	822	79	277	267	495	351	387	534	235	595	491	396	365	325
ENSG00000000460	C1orf112	234	131	82	87	179	62	181	182	357	119	760	154	220	198	909	224	237	44	317	240	49	207	51	86	235	32	64	136	187	210	226	302	204	404	349	376	261	215
ENSG00000000938	FGR	596	242	370	696	207	1430	956	1238	845	733	885	550	888	430	140	1198	475	151	2113	110	12	491	13	137	0	32	17	22	304	43	40	102	80	90	48	69	284	56
ENSG00000000971	CFH	3832	6585	3095	6556	3721	1775	4706	13744	5662	3812	7331	2777	3641	3426	3504	3303	2650	1407	4762	1782	1106	3359	1593	1448	1358	824	91	2839	6801	2598	1823	2213	2120	2290	2965	4943	2290	1582
ENSG00000001036	FUCA2	118	142	124	182	312	246	524	523	207	288	270	132	240	131	214	297	201	139	312	180	535	205	261	118	68	25	101	162	237	280	336	273	185	373	289	266	205	183
ENSG00000001084	GCLC	513	322	1337	3128	771	1962	598	1505	820	792	764	450	823	508	1622	562	758	1041	1211	817	224	1311	1510	1596	257	766	824	924	1198	1132	1086	852	894	1299	741	855	914	555
ENSG00000001167	NFYA	454	423	103	386	139	663	471	565	804	707	1127	522	612	653	209	855	536	12	574	437	456	402	164	96	241	177	350	301	277	551	435	562	433	633	756	473	475	414
ENSG00000001460	STPG1	165	80	828	255	156	65	68	131	237	549	260	240	317	171	79	241	449	41	144	318	171	252	138	99	96	81	64	91	141	234	262	209	249	225	295	169	139	254
ENSG00000001461	NIPAL3	302	198	293	275	109	264	114	215	632	474	224	291	839	313	310	561	310	27	260	583	146	475	216	230	108	242	136	231	284	475	464	434	427	726	547	248	568	367
ENSG00000001497	LAS1L	444	253	212	473	230	562	172	387	872	1080	1205	513	764	588	1193	583	691	0	696	732	76	617	238	558	1036	17	586	416	681	411	429	353	451	689	474	448	1000	616
ENSG00000001561	ENPP4	908	1159	679	1121	787	428	691	2030	1050	1717	1227	759	1863	763	1263	1633	859	296	1010	416	401	770	730	1826	1316	63	217	633	1084	743	659	580	599	994	524	350	554	362
ENSG00000001617	SEMA3F	78	208	102	75	40	122	110	57	129	133	69	95	148	155	224	131	77	0	130	50	3	15	0	2	6	18	8	12	26	27	15	35	38	36	24	25	37	45
ENSG00000001626	CFTR	221	104	153	138	75	131	40	786	199	143	575	268	749	283	178	355	171	91	23	1859	1067	114	6	1	491	1176	443	1432	2400	3196	4863	5401	827	4726	6580	2235	2367	4451
ENSG00000001629	ANKIB1	1668	1805	953	2364	2278	1700	2024	4048	2647	4019	2049	1490	3039	1714	2107	2315	2107	513	1972	1483	905	2833	2034	1728	1023	715	904	1772	2365	1505	1566	1555	2047	2174	1695	1474	1497	1038
